address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count,faiss_id
"The View, 20 Palace Street, LONDON",,5200,7200,Long term,Furnished,Ask agent,Flat,3.0,2.0,"1,334 sq ft",0.3,3,521
"Lambert Avenue, Richmond",,1895,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3,522
"Kensington Gardens Square, London, W2",,5980,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3.0,3.0,Ask agent,0.3,3,523
"Bull Inn Court, Covent Garden, London, WC2R",WC2R,3250,3750,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3,524
"Fairfield South, Kingston upon Thames, KT1",KT1,1000,1223,Long term,Ask agent,Ask agent,Apartment,,,Ask agent,0.6,3,525
"Fairfield South, Kingston upon Thames, KT1",KT1,1100,1309,Long term,Unfurnished,Ask agent,Apartment,,,Ask agent,0.6,3,526
"Manstone Road, Kilburn, NW2",NW2,1127,1096,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,,1.0,Ask agent,0.5,3,527
"Manstone Road, Kilburn, NW2",NW2,1170,1025,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,,1.0,205 sq ft,0.5,3,528
"Gasholder Place, Oval Village, London, SE11",SE11,2232,0,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.3,3,529
"Wallingford Avenue, London, W10",W10,10833,0,Long term,Unfurnished,Ask agent,Terraced,4.0,3.0,Ask agent,0.5,3,530
"Twyford Road, Harrow",,2250,2596,Long term,Unfurnished,Ask agent,Semi-Detached,3.0,1.0,Ask agent,0.6,3,531
"Blazer Court, 28A St Johns Wood Road, London NW8 7JY",,3250,3875,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3,532
"Kensington Gardens Square, London, W2",,5620,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.3,3,533
"Derwent Drive, Hayes, Middlesex",,4500,5192,Long term,Part furnished,Ask agent,House,6.0,3.0,Ask agent,2.0,3,534
"Ballards Lane, Finchley, N3",,1900,2192,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,1.0,Ask agent,0.5,3,535
Kingsmill Terrace London NW8,,2492,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,536
"Opus House, Postmark, London, WC1X",WC1X,4600,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3,537
"Nine Elms Lane, London, SW11",SW11,2688,0,Long term,Unfurnished,Ask agent,Studio,,1.0,554 sq ft,0.4,3,538
"Fitzjohns Avenue, Hampstead, NW3",NW3,4498,6230,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,0.4,3,539
"Damac Tower, Bondway, London, SW8",SW8,12497,0,Long term,Furnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.3,3,540
"Courtlands, Richmond",,2350,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,Ask agent,0.6,3,541
"St. Martin's Place, 
Charing Cross, WC2N",WC2N,5200,2400,Short term,Furnished,Ask agent,Flat,1.0,1.0,510 sq ft,0.2,3,542
"Hanger Lane, London, W5",,1350,1350,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.4,3,543
"Haverstock Hill, London, NW3",NW3,2250,2596,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,544
"Campden Hill Gardens, Kensington, London, W8",,6500,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3,545
"Chalfont Avenue, Little Chalfont, Amersham, HP6",HP6,1700,1962,Long term,Unfurnished,Ask agent,Maisonette,2.0,1.0,Ask agent,1.4,3,546
"Woodberry Avenue, Harrow, HA2",HA2,1850,2135,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.7,3,547
"London, London, NW10",NW10,1200,1385,Long term,Furnished,Ask agent,House Share,1.0,1.0,Ask agent,0.7,3,548
"Martyr Close, St. Albans, Hertfordshire",,1750,0,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.9,3,549
"Dara House, London, NW9",NW9,1500,1731,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.7,3,550
"Electric Boulevard, London, SW11",SW11,2650,3058,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3,551
"Empire Square, London, SE1",SE1,2500,2885,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,552
"Emu Road, Battersea, SW8",SW8,2300,2653,Long term,Ask agent,Ask agent,,2.0,1.0,Ask agent,0.4,3,553
"Amber Wharf, Haggerston, E2",,2500,2500,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3,554
"North Road, London, N7",,5000,5769,Long term,Unfurnished,Ask agent,Maisonette,4.0,2.0,Ask agent,0.4,3,555
"Stamford Grove West, London, N16",N16,1725,1990,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3,556
"Double En-Suite, London, N4",,1450,1450,Long term,Furnished,Ask agent,House Share,1.0,20.0,Ask agent,0.4,3,557
"East Acton Lane, London, W3",,2100,2423,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.6,3,558
"Cunningham Court, London, W9",,2340,2700,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,559
"Trundle Street , Borough SE1",,3098,0,,Ask agent,Ask agent,Flat,3.0,,Ask agent,0.3,3,560
"Millbank Quarter, Westminster",,3198,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3,561
"Willesden Lane, London",,1595,1840,Long term,Part furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,562
"Broadway, London, SW1H 0BH, UK",,3450,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,536 sq ft,0.3,3,563
"Kensington Gardens Square, London, W2",,5503,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.3,3,564
"Eastman Village Harrow View, Harrow",,150,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.8,3,565
"Mayes Road, London N22",,2643,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,4.0,2.0,Ask agent,0.4,3,566
"Fawley Road, West Hampstead, NW6",NW6,1387,1250,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,205 sq ft,0.2,3,567
"Hebden Place, Nine Elms Point, SW8",SW8,2925,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,568
"Archway Mews, London, SW15",SW15,1595,1840,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,569
"Penywern Road, London, SW5",SW5,1500,1731,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,570
"Clarewood Court,  Crawford Street, Marylebone, London, W1H",W1H,5417,7500,Long term,Furnished,Ask agent,Flat,3.0,2.0,Ask agent,0.2,3,571
"Avalon Close, Enfield",,1175,0,Long term,Part furnished,Ask agent,Flat,,1.0,Ask agent,0.7,3,572
"Philbeach Gardens, London, SW5",SW5,4000,4615,Long term,Furnished,Ask agent,Penthouse,3.0,2.0,Ask agent,0.3,3,573
"Golders Way, Golders Green, NW11",NW11,1250,1442,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.7,3,574
"Grosvenor Waterside, Gatliff Road, SW1W",SW1W,6197,8584,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,3.0,2.0,Ask agent,0.6,3,575
"Hazelbourne Road, Clapham South, London, SW12",SW12,2297,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3,576
"Portal Way, London, W3",,2350,2350,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3,577
"Percy Road, London, W12",W12,1150,1327,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,0.6,3,578
"Pattison House, London, SE1",SE1,2100,2423,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3,579
"Linden Road, Hampton, TW12",TW12,2700,2700,Long term,Unfurnished,Ask agent,Terraced,3.0,3.0,Ask agent,1.1,3,580
"L-000354, 2 Prospect Way, Battersea",,5000,6923,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3,581
"Shirland Road, Maida Vale",,2496,2880,Long term,Ask agent,Ask agent,Apartment,2.0,1.0,Ask agent,0.5,3,582
"Albion Riverside Building, Hester Road, SW11",SW11,8667,12000,Long term,Furnished,Ask agent,Apartment,3.0,3.0,"2,067 sq ft",0.9,3,583
Willesden Lane London NW6,,1600,1846,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,584
"Kensington Gardens Square, London, W2",,3354,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,585
"Brewhouse Yard, EC1V",EC1V,2950,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,586
"Quentin House, Gray Street, London, SE1",SE1,3250,3750,Long term,Furnished,Ask agent,Apartment,3.0,2.0,737 sq ft,0.2,3,587
"Glassworks, Greenford, Middlesex, UB6",UB6,1583,0,Long term,Furnished,Ask agent,Studio,,1.0,430 sq ft,0.6,3,588
"Sidmouth Road, Brondesbury Park",,3000,3461,Long term,Unfurnished,Ask agent,Apartment,3.0,2.0,"1,375 sq ft",0.6,3,589
"Cottage Close, Harrow, HA2",HA2,2750,3173,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Penthouse,2.0,2.0,Ask agent,0.7,3,590
"Pentonville Road, Kings Cross, N1",,1650,0,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.1,3,591
"West Gate, London, W5",,1550,1788,Long term,Furnished,Ask agent,Apartment,,1.0,355 sq ft,0.5,3,592
"Pinner Road, Watford, Hertfordshire, WD19",WD19,1650,1903,Long term,Unfurnished,Ask agent,Terraced,2.0,1.0,Ask agent,0.7,3,593
"Holst Mansions, 96 Wyatt Drive, Barnes, London, SW13",SW13,3650,4211,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.7,3,594
"Grosvenor Waterside, Chelsea, SW1W",SW1W,4199,5815,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.6,3,595
"Newton Court, Kensington",,4732,0,,Furnished,Ask agent,Flat,4.0,1.0,Ask agent,0.4,3,596
"Barnsbury Park, London, N1",,2750,0,Long term,Part furnished,Ask agent,Apartment,2.0,,Ask agent,0.4,3,597
"Ferry Lane, Brentford",,1998,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.6,3,598
"Laycock Street, 
Islington, N1",,5200,6000,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,"1,412 sq ft",0.4,3,599
"Olympic Way, Wembley, Middlesex, HA9",HA9,2095,0,Long term,Furnished,Ask agent,Flat,1.0,,570 sq ft,0.6,3,600
"Heath Drive, Hampstead NW3",,3900,0,Long term,Ask agent,Ask agent,Flat,3.0,2.0,Ask agent,0.6,3,601
"The Polygon, Clapham Common, London, SW4",SW4,2500,2884,Long term,Furnished,Ask agent,Flat,2.0,2.0,785 sq ft,0.4,3,602
"Brecon Court, Lampton Parkside, TW3",TW3,1950,2308,Long term,Furnished,Ask agent,,2.0,2.0,Ask agent,0.5,3,603
"Wembley Hill Road , Wembley Park HA9",,2275,0,Long term,Ask agent,Ask agent,Flat,3.0,3.0,Ask agent,0.4,3,604
"Damac Tower, Vauxhall, London, SW8",SW8,3120,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,605
"L-000332, 2 Prospect Way, Battersea",,4900,6784,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3,606
"Old Brompton Road, SW5",SW5,2250,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3,607
"Lillie Square, West Brompton",,9533,0,Long term,Ask agent,Ask agent,Apartment,3.0,2.0,Ask agent,0.3,3,608
"12 Sheffield Terrace, Kensington, London",,2925,4050,Long term,Unfurnished,Ask agent,Flat,1.0,,Ask agent,0.4,3,609
"Harrow Road, Wembley HA9",,3033,0,Long term,Ask agent,Ask agent,Flat,4.0,4.0,Ask agent,0.4,3,610
"The Mount Square, 
Hampstead, NW3",NW3,2850,3288,Long term,Unfurnished,Ask agent,End of Terrace,2.0,1.0,600 sq ft,0.5,3,611
"Brooks Mews, 
Mayfair, W1K",W1K,2925,3375,Long term,Furnished,Ask agent,Flat,1.0,1.0,520 sq ft,0.3,3,612
"Machine Works House, Pressing Lane, Hayes, UB3",UB3,1900,2192,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,1.4,3,613
"Chamberlayne Road, London, NW10",NW10,2200,2538,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3,614
"9 Millbank, Westminster, SW1P",SW1P,3200,4557,Long term,Furnished,Ask agent,Apartment,1.0,1.0,431 sq ft,0.3,3,615
Bassein Park Road W12,,2817,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,Ask agent,0.6,3,616
"Carfax Road, Hayes, Greater London, UB3",UB3,900,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,1.5,3,617
"Waterside, Kings Langley, Hertfordshire, WD4 8HH",,1150,1225,Long term,Unfurnished,Ask agent,Ground Maisonette,1.0,1.0,Ask agent,1.1,2,618
"St. Johns Road, Watford",,1250,1442,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.6,3,619
"Manners House, 13 Brook Street, Kingston Upon Thames, KT1",KT1,2995,3455,Long term,Furnished,Ask agent,Apartment,2.0,2.0,969 sq ft,0.6,3,620
"The mount Square, Hampstead, NW3",NW3,2850,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3,621
"St. Marks Road, Hanwell",,2799,0,Long term,Ask agent,Ask agent,House,3.0,1.0,Ask agent,0.8,3,622
"Staines Road West, Surrey",,1450,1673,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3,623
"Cadogan Square, Kensington and Chelsea",,16900,23400,Long term,Unfurnished,Ask agent,Flat,4.0,2.0,"2,594 sq ft",0.4,3,624
"Holly Lodge, N6",,2150,2480,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,574 sq ft,0.6,3,625
"Carronade Court, Eden Grove, N7",,2750,3173,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3,626
"Hand Axe Yard, St Pancras Place, Kings Cross, WC1X",WC1X,3358,0,Long term,Furnished,Ask agent,Duplex,2.0,1.0,731 sq ft,0.2,3,627
"Cowdenbeath Path, London, N1",,3550,3250,,Furnished,Ask agent,,4.0,1.0,Ask agent,0.5,3,628
"North End Road, London, NW11",NW11,3000,3461,Long term,Unfurnished,Ask agent,Flat,3.0,1.0,"1,234 sq ft",0.8,3,629
"Berkshire, SLOUGH, SL3",SL3,1750,2019,,Unfurnished,Ask agent,Apartment,2.0,1.0,Ask agent,1.5,3,630
"High Road, Willesden Green NW10",,1894,0,Long term,Ask agent,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3,631
"Swinton Street, Pentonville, WC1X",WC1X,1300,1500,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,0.3,3,632
"Cowley Road, Uxbridge, UB8",UB8,850,0,Long term,Part furnished,Ask agent,,1.0,1.0,Ask agent,1.4,3,633
"Fountain House, The Boulevard, London, SW6",SW6,5997,8307,Long term,Furnished,Ask agent,Flat,3.0,3.0,Ask agent,0.6,3,634
"Rabournmead Drive, Northolt",,1000,0,Long term,Ask agent,Ask agent,Studio,,1.0,Ask agent,0.8,3,635
"Moore House, Gatliff Road, London",,5300,6346,Long term,Furnished,Ask agent,Apartment,3.0,2.0,"1,050 sq ft",0.5,3,636
"Allington Close, Greenford",,1275,0,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3,637
Monck Street London SW1P,,5850,6750,Long term,Part furnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.4,3,638
"Dandi Brondesbury, Willesden Lane, London, NW2",NW2,1400,1730,Long term,Furnished,Ask agent,Studio,,1.0,320 sq ft,0.4,3,639
"Elvaston Place, South Kensington, SW7",SW7,3683,4250,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.4,3,640
"Catherine Street, Covent Garden WC2",,2232,2575,,Unfurnished,Ask agent,Apartment,1.0,1.0,344 sq ft,0.3,3,641
"Heathfield South, Twickenham",,3850,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,4.0,2.0,Ask agent,0.7,3,642
"High Street, Slough",,1450,1673,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,1.3,3,643
"Kimmerston House, Pimlico London SW1P",,1800,0,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,644
"Harp Island Close, London",,1300,0,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.0,3,645
"Henry Macaulay Avenue, Kingston Upon Thames, KT2",KT2,4000,4615,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,"1,184 sq ft",0.5,3,646
"Westmark Tower, Newcastle Place, W2",,4800,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.2,3,647
"Laycock Street, London, N1",,2600,3000,Long term,Furnished,Ask agent,Duplex,2.0,2.0,Ask agent,0.3,3,648
"Cameret Court, Lorne Gardens",,2375,2741,,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3,649
"Vernon Court, Hendon Way, NW2",NW2,2000,2308,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.8,3,650
"Monica Shaw Court, Purchese Street, London, NW1",NW1,4350,4000,,Furnished,Ask agent,Apartment,4.0,1.0,Ask agent,0.3,3,651
"Queens Court, Queensway , London, London borough of Westminster, W2",,2773,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,667 sq ft,0.2,3,652
"York Way, Islington N7",,2817,3250,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3,653
"Olympic Way, Wembley, Middlesex, HA9",HA9,1695,0,Long term,Furnished,Ask agent,Studio,,,404 sq ft,0.6,3,654
"Ullswater Crescent, LONDON",,5000,5769,Long term,Ask agent,Ask agent,House,5.0,,Ask agent,1.9,3,655
"Bowness Crescent, SW15",SW15,4000,0,Short term,Furnished,Ask agent,House,3.0,2.0,Ask agent,1.7,3,656
"New North Street, London, Greater London, WC1N",WC1N,3250,0,,Furnished,Ask agent,Apartment,2.0,1.0,850 sq ft,0.3,3,657
"Crooked Billet, SW19",SW19,3750,0,Short term,Furnished,Ask agent,House,2.0,1.0,Ask agent,0.9,3,658
Beaufort Park London NW11,,2000,0,Long term,Unfurnished,Ask agent,Flat,3.0,1.0,Ask agent,1.1,3,659
"Homefield Road, SW19",SW19,3000,0,Short term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.7,3,660
High Street Rickmansworth WD3,,1250,1442,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,1.0,3,661
"Hindes Road, Harrow",,1300,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3,662
"Tallow Road, TW8",TW8,2350,2710,Long term,Furnished,Ask agent,Apartment,2.0,2.0,857 sq ft,0.6,3,663
"Gunnersbury Avenue, Acton,W3",,800,800,Long term,Furnished,Ask agent,House Share,1.0,1.0,Ask agent,0.5,3,664
"Cubitt Building, Gatliff Road , Grosvenor Waterside",,3225,3865,Long term,Furnished,Ask agent,Apartment,1.0,1.0,600 sq ft,0.5,3,665
"Coningham Road, Shepherd's Bush W12",,2800,3230,Long term,Part furnished,Ask agent,Penthouse,2.0,2.0,Ask agent,0.4,3,666
"Finn House, Bevenden Street, N1",,2102,2192,Long term,Part furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,667
"St. Johns Wood High Street, London, NW8",NW8,2747,3173,Long term,Part furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.6,3,668
"Egerton Court, Old Brompton Road, South Kensington, London, SW7",SW7,2999,3460,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,669
"Drayton Park, N5 1NT",,2000,2308,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,548 sq ft,0.3,3,670
"Kew Road, TW9",TW9,2300,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.6,3,671
"Heritage Lane, London",,3467,4000,Long term,Furnished,Ask agent,Flat,2.0,2.0,915 sq ft,0.2,3,672
"Marsh Road, Pinner",,1995,2301,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.7,3,673
"Fellows Road, Swiss Cottage, London, NW3",NW3,1750,2019,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,674
"Olympic Way, Wembley, Middlesex, HA9",HA9,1995,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,592 sq ft,0.6,3,675
"Redchurch Street, London, E2",,3000,3462,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,674 sq ft,0.4,3,676
"Crookham Road, London, SW6",SW6,2050,2365,Long term,Unfurnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3,677
"North End House, 
Fitzjames Avenue, W14",W14,6300,8723,Long term,Furnished,Ask agent,Flat,3.0,3.0,"1,722 sq ft",0.3,3,678
"Magdalen House, 
Devonshire Street, W4",,2500,2885,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.6,3,679
"Earl's Court Square, Earls Court",,3445,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3,680
"Mortlake High Street, 
East Sheen, SW14",SW14,4500,5192,Long term,Unfurnished,Ask agent,Flat,3.0,3.0,Ask agent,0.5,3,681
"Eccleston Street, Belgravia SW1W",,5958,8250,Long term,Furnished,Ask agent,Apartment,2.0,2.0,"1,211 sq ft",0.4,3,682
Chatfield Road London SW11,,1800,2077,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.6,3,683
"York Way, Caledonian Road N7",,2492,2875,Long term,Ask agent,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3,684
"Euston Road, London, NW1",NW1,2700,3115,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.2,3,685
"Aberdeen Road, Highbury",,850,0,Long term,Furnished,Included,House Share,,1.0,Ask agent,0.5,3,686
"Gibbs Green, West Kensington, London, W14",W14,2100,2300,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3,687
"Old Brompton Road, 
Earls Court, SW5",SW5,3965,4575,Long term,Part furnished,Ask agent,Flat,2.0,2.0,922 sq ft,0.4,3,688
"2-6 Cropley Street, London, N1 7GF",,3450,3980,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3,689
"Melrose Avenue, Willesden Green, NW2",NW2,1625,1960,Long term,Part furnished,Ask agent,Flat,1.0,1.0,523 sq ft,0.5,3,690
"Hornsey Road, London N19",,1560,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,,1.0,258 sq ft,0.4,3,691
"Creswick Road, London, W3 9EZ",,1150,1325,Long term,Ask agent,Ask agent,Flat,1.0,1.0,187 sq ft,0.5,3,692
"Olympic Way, Wembley, Middlesex, HA9",HA9,1895,0,Long term,Furnished,Ask agent,Flat,1.0,,570 sq ft,0.6,3,693
"St. Marks Road, Hanwell",,2799,0,Long term,Unfurnished,Ask agent,Flat,3.0,1.0,Ask agent,0.8,3,694
"Golders Green Road, Golders Green",,1500,1730,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.8,3,695
"Trewint Street, London, SW18",SW18,1445,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.5,3,696
"Olympic Way, Wembley, Middlesex, HA9",HA9,2045,0,Long term,Furnished,Ask agent,Flat,1.0,,538 sq ft,0.6,3,697
"Fulham Road, London, SW3",SW3,4550,6300,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,2.1,3,698
"Fulham Road, London",,2600,0,Long term,Ask agent,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,699
"Hugh Street , Victoria SW1V",,5417,0,Long term,Ask agent,Ask agent,Flat,4.0,,Ask agent,0.4,3,700
"Euston Road, London, NW1",NW1,2470,2850,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.2,3,701
"Wincanton Road, London, SW18",SW18,13000,0,Short term,Furnished,Ask agent,Terraced,3.0,2.0,"1,574 sq ft",0.6,3,702
Harrow Road,,1995,2301,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3,703
"Olympic Way, Wembley, Middlesex, HA9",HA9,2045,0,Long term,Furnished,Ask agent,Flat,1.0,,630 sq ft,0.6,3,704
"Artesian Road, Notting Hill, London, W2",,4117,4750,Short term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,705
"Staines Road, Hounslow, TW3",TW3,1500,1730,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3,706
"60 Lodge Lane, London, N12",N12,2300,2300,Long term,Ask agent,Ask agent,Maisonette,3.0,2.0,Ask agent,0.6,3,707
"Church Stretton Road, Hounslow",,1250,0,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.7,3,708
"Cedrus Avenue, Southall, UB1",UB1,2200,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,1.3,3,709
"Senate Building, Lexington Gardens, Nine Elms, SW11",SW11,3000,3461,Long term,Part furnished,Ask agent,Apartment,2.0,2.0,834 sq ft,0.4,3,710
"Hatherley Grove, London, W2",,1245,1437,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3,711
"Gray's Inn Road, London, WC1X",WC1X,2995,3455,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,750 sq ft,0.3,3,712
"Elm Grove, Cricklewood, NW2",NW2,1300,1000,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.5,3,713
"Antill Road, London, N15",N15,3300,3300,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,3.0,1.0,Ask agent,0.4,3,714
"Vespan Road, Shepherds Bush, London",,3000,3461,Long term,Unfurnished,Ask agent,Flat,3.0,2.0,Ask agent,0.7,3,715
"Archway Road, London, N6",,3500,4038,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.6,3,716
"George Green Road, George Green, Slough, SL3",SL3,2100,2423,Long term,Furnished,Ask agent,End of Terrace,3.0,2.0,Ask agent,1.7,3,717
"Richmond Court, Kensington Olympia, London, W14",W14,2097,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,618 sq ft,0.3,3,718
Top Floor - Great Views!,,1850,2135,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,1.6,3,719
"Master En-Suite A, London, N4",,1675,1675,Long term,Furnished,Ask agent,House Share,1.0,20.0,Ask agent,0.4,3,720
