log_id,property_id,issue_type,severity,date,cost,resolved,notes
291,93,Roof Leak,Medium,2025-01-07,536.74,True,Ipsum minus tempora eveniet nihil similique.
292,93,Boiler Failure,High,2025-02-02,1023.14,False,Ducimus laudantium iusto pariatur debitis quis.
293,93,Pipe Burst,Low,2024-09-11,1561.18,False,Ducimus architecto eius similique soluta molestias.
294,93,Damp/Mould,Critical,2025-04-23,606.87,False,Magnam omnis ut dolorem.
295,94,Boiler Failure,Low,2024-11-23,194.4,True,Qui nisi nesciunt odit.
296,94,Pest Infestation,Medium,2024-09-22,221.19,False,Nam quasi nihil quam accusamus.
297,95,Pest Infestation,Low,2024-11-01,1107.23,False,Eveniet itaque perspiciatis error voluptatum impedit quidem.
298,95,Window Repair,Low,2024-09-23,1433.65,True,Delectus sequi ratione ut eum.
299,95,Window Repair,Medium,2024-10-05,487.27,True,Non cupiditate deleniti blanditiis veniam laborum.
300,96,Damp/Mould,High,2024-08-31,101.25,False,Aspernatur nesciunt aut quisquam dolor aut.
301,96,Electrical Fault,High,2024-09-08,1125.71,True,Suscipit cumque at sequi nemo.
302,97,Roof Leak,Medium,2025-01-22,1448.02,False,Aspernatur molestias similique minima.
303,98,Electrical Fault,High,2024-04-05,1655.51,True,Autem saepe saepe dolorum.
304,98,Damp/Mould,Critical,2024-03-01,1302.56,False,Exercitationem possimus culpa reprehenderit suscipit dolore molestias architecto.
305,98,Electrical Fault,Medium,2024-07-17,721.8,True,Vero asperiores corporis ullam.
306,98,Window Repair,Critical,2025-03-09,893.61,True,Reiciendis illum corrupti id exercitationem.
307,98,Window Repair,Low,2024-05-13,348.38,True,Inventore ea error suscipit culpa.
308,99,Roof Leak,Critical,2025-03-02,489.67,False,Sequi voluptatem qui suscipit aliquam sunt voluptatem.
309,99,Window Repair,Low,2025-02-06,432.79,False,Ad quo est quidem similique exercitationem.
310,100,Pest Infestation,Medium,2025-05-19,1090.28,True,Alias repellat rem.
311,100,Pipe Burst,Critical,2025-03-19,350.68,False,Minima aspernatur nisi esse.
