property_id,month,avg_temp_c,rainfall_mm,pest_alert,maintenance_risk_score
76,September,5,4.4,Damp Woodlice,4
76,October,15,3.7,None,6
76,November,14,2.3,None,4
76,December,7,2.6,None,7
77,January,13,4.3,None,3
77,February,6,0.6,None,3
77,March,17,3.5,Wasps,3
77,April,4,1.1,Damp Woodlice,8
77,May,21,4.7,None,8
77,June,18,2.4,Damp Woodlice,7
77,July,13,1.5,None,1
77,August,20,2.7,Rodents,9
77,September,10,2.3,None,6
77,October,3,4.9,None,6
77,November,5,3.1,Wasps,2
77,December,6,3.8,None,5
78,January,16,2.8,None,10
78,February,4,1.6,None,2
78,March,22,2.9,None,10
78,April,3,4.6,None,1
78,May,17,2.5,Wasps,10
78,June,12,2.4,Wasps,5
78,July,11,1.3,None,10
78,August,11,3.8,None,1
78,September,22,2.6,None,1
78,October,11,4.1,None,5
78,November,17,0.9,None,5
78,December,10,1.1,None,5
79,January,2,3.8,None,10
79,February,6,3.5,None,3
79,March,10,4.0,None,3
79,April,18,4.4,None,2
79,May,6,3.2,Damp Woodlice,8
79,June,15,4.0,None,8
79,July,22,1.3,None,6
79,August,3,3.4,Rodents,2
79,September,3,1.3,None,5
79,October,17,3.9,Rodents,9
79,November,9,2.2,Rodents,8
79,December,10,1.2,Damp Woodlice,1
80,January,11,4.7,None,6
80,February,18,3.6,None,9
80,March,22,2.1,Damp Woodlice,10
80,April,22,4.4,None,5
80,May,5,1.6,None,8
80,June,9,3.8,None,4
80,July,18,2.0,None,3
80,August,12,3.0,None,2
80,September,2,2.4,None,8
80,October,13,1.5,None,4
80,November,3,0.6,None,10
80,December,8,4.8,None,2
81,January,4,4.4,None,10
81,February,7,4.5,None,5
81,March,11,2.6,Wasps,8
81,April,10,4.0,None,6
81,May,10,1.2,None,1
81,June,14,2.2,Wasps,5
81,July,10,1.3,None,4
81,August,21,2.3,None,2
81,September,6,2.9,None,10
81,October,22,1.0,None,5
81,November,5,0.7,None,5
81,December,16,0.6,None,1
82,January,3,3.5,None,6
82,February,14,3.1,None,8
82,March,17,2.5,Damp Woodlice,2
82,April,19,1.5,None,8
82,May,5,3.1,Wasps,6
82,June,12,3.6,None,2
82,July,13,2.9,Wasps,2
82,August,16,3.9,None,4
82,September,7,3.0,Wasps,4
82,October,11,3.6,Damp Woodlice,6
82,November,17,0.9,None,4
82,December,6,0.7,None,10
83,January,9,2.7,None,9
83,February,22,1.9,None,8
83,March,2,0.7,None,1
83,April,14,1.0,Damp Woodlice,9
83,May,16,4.7,Damp Woodlice,9
83,June,6,3.8,None,2
83,July,3,3.8,None,1
83,August,17,4.6,None,4
83,September,22,1.1,None,1
83,October,11,4.2,None,10
83,November,7,4.3,None,2
83,December,5,2.7,Rodents,4
84,January,4,4.1,None,7
84,February,12,1.0,None,9
84,March,6,1.9,Wasps,4
84,April,3,3.2,None,2
84,May,10,1.1,None,6
84,June,19,1.2,None,10
84,July,3,1.1,Rodents,10
84,August,14,4.0,None,8
84,September,4,0.5,None,2
84,October,22,3.2,None,8
84,November,6,1.4,None,9
84,December,16,2.4,Wasps,10
85,January,3,3.2,Rodents,10
85,February,4,3.3,Rodents,6
85,March,15,0.5,None,2
85,April,18,4.9,None,9
85,May,18,1.5,Rodents,4
85,June,10,0.7,None,3
85,July,17,2.7,None,1
85,August,3,3.4,None,7
85,September,10,2.0,Damp Woodlice,8
85,October,3,1.0,None,9
85,November,7,1.2,None,9
85,December,5,0.8,None,8
86,January,20,3.1,None,6
86,February,9,4.0,None,2
86,March,9,3.8,Damp Woodlice,7
86,April,9,0.8,None,1
86,May,15,1.2,Wasps,8
86,June,7,2.2,None,4
86,July,22,2.1,None,6
86,August,6,0.6,None,5
86,September,6,1.0,None,7
86,October,7,3.9,None,5
86,November,21,1.2,Rodents,10
86,December,7,3.1,None,4
87,January,4,2.4,None,4
87,February,20,2.6,None,1
87,March,15,3.8,None,6
87,April,15,3.1,Damp Woodlice,10
87,May,6,4.6,Damp Woodlice,7
87,June,3,0.7,None,9
87,July,3,2.4,None,2
87,August,16,2.7,None,1
87,September,15,4.8,None,5
87,October,9,3.4,None,8
87,November,11,1.2,None,10
87,December,20,0.6,None,3
88,January,14,1.3,Damp Woodlice,8
88,February,22,0.5,None,7
88,March,12,2.9,None,5
88,April,21,2.9,Rodents,2
88,May,21,4.5,Rodents,1
88,June,18,4.8,None,1
88,July,5,2.2,None,1
88,August,13,2.1,None,2
88,September,19,3.7,None,6
88,October,9,2.9,None,10
88,November,8,3.9,Rodents,6
88,December,13,4.5,None,7
89,January,10,0.7,None,8
89,February,17,2.8,Damp Woodlice,8
89,March,19,3.6,None,5
89,April,16,3.3,Rodents,2
89,May,8,4.5,None,2
89,June,14,4.5,None,2
89,July,5,1.2,None,3
89,August,17,1.2,None,1
89,September,11,2.4,None,3
89,October,17,2.1,None,1
89,November,11,1.4,None,4
89,December,18,3.4,None,6
90,January,22,3.4,None,10
90,February,18,4.3,None,5
90,March,20,1.1,Rodents,3
90,April,10,1.5,None,5
90,May,3,1.2,None,3
90,June,21,4.7,Rodents,5
90,July,7,4.9,Damp Woodlice,3
90,August,7,1.6,None,6
90,September,20,1.1,None,3
90,October,8,3.0,None,6
90,November,13,1.2,None,3
90,December,19,1.9,Wasps,7
91,January,17,4.0,Wasps,6
91,February,6,0.5,Rodents,9
91,March,12,3.4,None,5
91,April,20,3.5,Rodents,8
91,May,12,3.6,Rodents,1
91,June,6,3.6,None,1
91,July,14,3.3,None,6
91,August,4,2.0,None,4
91,September,20,2.9,Rodents,5
91,October,8,0.6,None,8
91,November,4,4.9,None,8
91,December,12,3.2,None,1
92,January,13,2.3,Rodents,7
92,February,13,2.2,None,6
92,March,13,1.9,None,9
92,April,4,1.5,Damp Woodlice,7
92,May,16,1.8,Damp Woodlice,7
92,June,15,1.1,None,2
92,July,6,1.4,None,9
92,August,12,0.8,Wasps,7
92,September,4,0.5,None,5
92,October,15,1.3,None,10
92,November,6,1.4,Damp Woodlice,5
92,December,19,2.7,Damp Woodlice,5
93,January,20,1.9,None,8
93,February,9,0.6,None,5
93,March,11,4.8,Damp Woodlice,8
93,April,5,3.4,Damp Woodlice,7
93,May,7,2.7,None,4
93,June,2,1.0,None,2
93,July,21,3.9,None,10
93,August,15,4.4,None,8
93,September,5,2.2,Rodents,1
93,October,10,1.2,None,6
93,November,16,4.5,None,3
93,December,3,1.7,None,6
94,January,3,1.8,None,2
94,February,18,1.4,None,2
94,March,21,3.9,None,6
94,April,11,1.7,None,6
94,May,5,2.9,None,3
94,June,2,1.1,None,8
94,July,15,2.0,Wasps,2
94,August,8,1.2,None,4
94,September,19,3.3,Damp Woodlice,9
94,October,19,3.7,Rodents,2
94,November,15,2.6,None,3
94,December,2,2.7,None,6
95,January,6,4.2,Damp Woodlice,10
95,February,18,3.9,None,5
95,March,2,3.9,None,3
95,April,6,3.6,None,4
95,May,6,4.9,None,2
95,June,4,0.6,None,7
95,July,3,1.4,None,9
95,August,20,0.8,None,5
95,September,3,0.8,None,2
95,October,5,4.6,None,4
95,November,7,3.5,None,3
95,December,10,4.8,None,3
96,January,18,4.0,None,9
96,February,20,0.8,Damp Woodlice,1
96,March,18,1.5,None,5
96,April,7,4.6,None,2
96,May,8,4.6,Damp Woodlice,8
96,June,13,3.6,None,2
96,July,7,4.3,Wasps,7
96,August,8,2.8,None,6
96,September,5,2.6,None,8
96,October,13,3.7,None,1
96,November,4,2.0,None,5
96,December,16,3.2,None,8
97,January,9,3.0,None,7
97,February,8,4.4,Damp Woodlice,8
97,March,13,1.3,Wasps,8
97,April,5,2.3,None,2
97,May,5,1.1,None,10
97,June,5,3.8,Damp Woodlice,3
97,July,4,2.1,None,4
97,August,21,4.3,None,4
97,September,15,3.8,None,10
97,October,20,1.7,Rodents,7
97,November,13,2.6,None,7
97,December,17,2.8,None,8
98,January,5,1.0,None,4
98,February,22,4.7,None,1
98,March,4,2.7,None,3
98,April,14,3.2,None,5
98,May,21,3.3,Rodents,9
98,June,17,4.1,None,8
98,July,17,2.8,None,9
98,August,19,0.6,Rodents,7
98,September,5,2.2,None,7
98,October,16,2.6,None,9
98,November,11,4.5,None,7
98,December,6,1.9,None,2
99,January,20,3.5,None,9
99,February,20,2.6,None,3
99,March,18,0.8,None,10
99,April,14,3.3,None,5
99,May,12,0.8,None,3
99,June,13,2.1,Rodents,1
99,July,22,2.0,None,6
99,August,13,2.4,None,4
99,September,9,1.6,None,2
99,October,4,4.4,None,3
99,November,2,2.9,None,7
99,December,20,2.8,None,1
100,January,17,3.1,Wasps,7
100,February,20,2.3,None,8
100,March,5,3.6,None,8
100,April,18,4.2,None,3
100,May,21,1.8,Wasps,4
100,June,17,3.4,Wasps,2
100,July,19,1.5,None,5
100,August,20,2.3,None,2
100,September,20,0.9,None,2
100,October,20,4.1,None,4
100,November,13,4.1,None,5
100,December,18,4.1,None,9
